Date,price,SMA20,SMA50,live_pos
2016-04-18 00:00:00-04:00,50.53430938720703,49.04764232635498,47.42671905517578,100000
2016-04-19 00:00:00-04:00,50.47166061401367,49.160865020751956,47.54464286804199,100000
2016-04-20 00:00:00-04:00,49.755619049072266,49.228887939453124,47.661575622558594,100000
2016-04-21 00:00:00-04:00,49.92567443847656,49.309889030456546,47.784220123291014,100000
2016-04-22 00:00:00-04:00,46.34550857543945,49.201141357421875,47.827618789672854,100000
2016-04-25 00:00:00-04:00,46.640872955322266,49.13714599609375,47.8772802734375,100000
2016-04-26 00:00:00-04:00,46.04117965698242,48.99080600738525,47.90055145263672,100000
2016-04-27 00:00:00-04:00,45.59364700317383,48.80687408447265,47.89786613464356,100000
2016-04-28 00:00:00-04:00,44.66281509399414,48.56834487915039,47.85275588989258,100000
2016-04-29 00:00:00-04:00,44.63594436645508,48.313256454467776,47.811225509643556,100000
2016-05-02 00:00:00-04:00,45.29829788208008,48.09755039215088,47.78956550598144,100000
2016-05-03 00:00:00-04:00,44.5554084777832,47.88363399505615,47.73818984985351,100000
2016-05-04 00:00:00-04:00,44.63594436645508,47.64868316650391,47.71473922729492,100000
2016-05-05 00:00:00-04:00,44.69861602783203,47.44640293121338,47.68931999206543,100000
2016-05-06 00:00:00-04:00,45.10137939453125,47.26605091094971,47.6587092590332,100000
2016-05-09 00:00:00-04:00,44.814964294433594,47.076301193237306,47.636691131591796,100000
2016-05-10 00:00:00-04:00,45.66526412963867,46.91385021209717,47.639197158813474,100000
2016-05-11 00:00:00-04:00,45.69212341308594,46.72141609191895,47.61180885314941,100000
2016-05-12 00:00:00-04:00,46.10383987426758,46.549119567871095,47.586031646728514,100000
2016-05-13 00:00:00-04:00,45.71895980834961,46.344601440429685,47.5632974243164,100000
2016-05-16 00:00:00-04:00,46.39025115966797,46.13739852905273,47.559717330932614,100000
2016-05-17 00:00:00-04:00,45.52499771118164,45.890065383911136,47.556733016967776,100000
2016-05-18 00:00:00-04:00,45.7953987121582,45.69205436706543,47.54805816650391,100000
2016-05-19 00:00:00-04:00,45.3537483215332,45.46345806121826,47.50924827575684,100000
2016-05-20 00:00:00-04:00,45.624141693115234,45.42738971710205,47.4899878692627,100000
2016-05-23 00:00:00-04:00,45.09237289428711,45.349964714050294,47.44183319091797,100000
2016-05-24 00:00:00-04:00,46.4984016418457,45.37282581329346,47.420009002685546,100000
2016-05-25 00:00:00-04:00,46.976097106933594,45.441948318481444,47.40022018432617,100000
2016-05-26 00:00:00-04:00,46.768802642822266,45.54724769592285,47.3626806640625,100000
2016-05-27 00:00:00-04:00,47.1563606262207,45.673268508911136,47.327343139648434,100000
2016-05-31 00:00:00-04:00,47.76924133300781,45.79681568145752,47.3252075958252,100000
