,Date,pct_change,Volume,SMA50,price,RSI,upper_band,lower_band,middle_band,MACD_line,signal_line,ATR,volume_ma
521,2015-01-28 00:00:00-05:00,-0.034458389860072325,84507100,40.753785858154295,35.63405227661133,29.173619464895438,42.51355617663053,37.1928738770804,39.853215026855466,-0.6905693869720295,-0.3294217323605383,1.2086889623939479,46016200.0
522,2015-01-29 00:00:00-05:00,0.019907393579854826,63585300,40.62818389892578,36.34343338012695,25.865033688938794,42.69100061981726,36.582005819391725,39.63650321960449,-0.8660550132890918,-0.436748388546249,1.1969479631010174,48440492.85714286
523,2015-01-30 00:00:00-05:00,-0.038323799415421855,78004900,40.47678886413574,34.95061492919922,23.414256506904778,43.062760004717944,35.68685242203986,39.3748062133789,-1.1047822036309967,-0.5703551515631986,1.2426746240796465,52301971.428571425
524,2015-02-02 00:00:00-05:00,0.021781920159299917,50352500,40.34771362304687,35.71190643310547,29.63239320873818,43.13080808436426,35.144721014146484,39.13776454925537,-1.2184992589589925,-0.6999839730423574,1.2402027801868012,54209157.14285714
525,2015-02-03 00:00:00-05:00,0.007752149137621123,52082400,40.23317237854004,35.98875045776367,31.88738990572314,43.13656498682208,34.729764206293154,38.93316459655762,-1.271623362916067,-0.8143118510170992,1.180262913020261,55410000.0
526,2015-02-04 00:00:00-05:00,0.005769201212392883,41614800,40.11447868347168,36.19637680053711,34.129404714668524,43.13473186340329,34.40198841247562,38.76836013793945,-1.282190592371549,-0.9078875992879893,1.187061164622017,56259657.14285714
527,2015-02-05 00:00:00-05:00,0.0145793985938798,36548200,40.01879722595215,36.724098205566406,38.443963172978904,43.022552356988,34.18715528461357,38.604853820800784,-1.2337604681263983,-0.9730621730556712,1.1765561811444856,56530900.0
528,2015-02-06 00:00:00-05:00,-0.0009425571948566969,34616600,39.929171295166014,36.689483642578125,34.543939749289905,42.70408818699446,34.05748980067644,38.38078899383545,-1.1845179659148641,-1.0153533316275098,1.1475129793245564,56453850.0
529,2015-02-09 00:00:00-05:00,-0.001178736210127762,31381100,39.84075668334961,36.64623641967773,33.60455141201908,42.400702702852165,33.943024790433974,38.17186374664307,-1.1358887985911608,-1.03946042502024,1.1135263999872353,56112364.28571428
530,2015-02-10 00:00:00-05:00,0.005665693480653156,29670700,39.75164985656738,36.85386276245117,36.23551013961163,42.14086737828677,33.85681328577573,37.99884033203125,-1.0682816367505836,-1.0452246673663086,1.093751838571097,55440192.85714286
531,2015-02-11 00:00:00-05:00,-0.005164362061600314,38262500,39.65769828796387,36.663536071777344,28.545486049563962,41.885204880027274,33.76816082737018,37.82668285369873,-1.0183216689035959,-1.0398440676737661,1.0455515732354808,55609085.71428572
532,2015-02-12 00:00:00-05:00,0.016753187919916757,33268800,39.56201652526856,37.27776718139648,32.56601539372407,41.66268018776564,33.74239679282518,37.70253849029541,-0.9185759455335898,-1.015590443245731,1.0529668324985673,56113171.428571425
533,2015-02-13 00:00:00-05:00,0.0181014543074125,40264900,39.482598876953126,37.95254898071289,37.27706009479324,41.519702543483454,33.746090684665965,37.63289661407471,-0.7761307373006971,-0.9676985020567243,1.0430795992321669,55951700.0
534,2015-02-17 00:00:00-05:00,0.0004593411239062206,33695700,39.4101049041748,37.9699821472168,57.67871062354939,41.260218211716854,33.80228522151068,37.53125171661377,-0.654292891501953,-0.90501737994577,0.7906986133759837,46275392.85714286
535,2015-02-18 00:00:00-05:00,-0.0011471223033509004,27111700,39.32358978271484,37.92642593383789,70.10325073898674,40.95111761314234,33.89076394813696,37.42094078063965,-0.5548541302881276,-0.8349847300142416,0.7092670531068198,42175721.428571425
536,2015-02-19 00:00:00-05:00,-0.0006896874278642384,27603400,39.24381866455078,37.9002685546875,65.5116528862168,40.69963910093968,33.959666090100356,37.32965259552002,-0.4727097734825989,-0.7625297387079131,0.656954911678567,39605585.71428572
537,2015-02-20 00:00:00-05:00,0.008276123344896025,29721100,39.182778396606444,38.21393585205078,91.42190045108632,40.194466118218934,34.20894879877326,37.201707458496095,-0.3779427605434975,-0.68561234307503,0.5910958457868963,36156742.85714286
538,2015-02-23 00:00:00-05:00,0.006612292781251972,32518800,39.12869514465332,38.46661758422852,90.15010747379304,39.63081638198134,34.537651711890724,37.08423404693603,-0.27923111353095464,-0.604336097166215,0.554256871383668,34882907.14285714
539,2015-02-24 00:00:00-05:00,-0.0013592107652350416,25271700,39.08550476074219,38.41433334350586,87.8293285992034,38.996004811045594,34.946994838002254,36.971499824523924,-0.20288163021945138,-0.5240452037768623,0.5235270444950092,32967857.14285714
540,2015-02-25 00:00:00-05:00,-0.0022681035427004614,29759800,39.03590026855469,38.32720565795898,84.5302002635888,39.155242368272084,34.92990129322693,37.04257183074951,-0.14770197427577614,-0.44877655787664505,0.48905029819073625,32121071.42857143
541,2015-02-26 00:00:00-05:00,0.001591182141735148,28957300,38.99132171630859,38.38819122314453,81.77301079999133,39.265239459190234,35.09531809696211,37.18027877807617,-0.09792189135039564,-0.3786056245713952,0.4607746039118434,31578864.285714287
542,2015-02-27 00:00:00-05:00,-0.0047661616534009354,33807700,38.947928771972656,38.20522689819336,77.38894993044896,39.36724094907598,35.17949595888301,37.273368453979494,-0.07239992761464009,-0.3173644851800442,0.454832793710741,31521085.714285713
543,2015-03-02 00:00:00-05:00,0.0006841552265535178,31924000,38.931184921264645,38.23136520385742,78.82092314180026,39.2617929499668,35.613018985458005,37.4374059677124,-0.04949390967621525,-0.2637903700792784,0.4619113689449265,31559864.285714287
544,2015-03-03 00:00:00-05:00,-0.01367364978458152,31748600,38.89395042419434,37.70860290527344,63.94311366439439,39.17281258155242,35.901669001089175,37.5372407913208,-0.07268540195137518,-0.2255693764536978,0.47461744552410423,31708285.714285713
545,2015-03-04 00:00:00-05:00,-0.005082809614971429,25748700,38.82208442687988,37.516937255859375,63.91519292204484,39.07850319090845,36.14879707154272,37.61365013122558,-0.10531661833729089,-0.20151882483041644,0.47232047494497414,30814442.85714286
546,2015-03-05 00:00:00-05:00,0.0011606696194343957,23193500,38.74866722106933,37.56048202514648,55.66392457882809,38.98720050198628,36.376510282925835,37.68185539245606,-0.1262085399690278,-0.18645676785813872,0.4545850698319792,30094778.57142857
547,2015-03-06 00:00:00-05:00,-0.017397274395188678,36248800,38.65664443969727,36.90703201293945,28.87348262710178,38.970395607950984,36.411608557698436,37.69100208282471,-0.19326564717885475,-0.18781854372228193,0.46613059696922426,29807914.285714287
